Date,Ticker,Action,Price,Shares,Value,Signal_Strength
2024-02-20,NVDA,BUY,69.41719055175781,43.1737869709437,3000.0,0.5623748302459717
2024-02-21,NVDA,BUY,67.43819427490234,43.10573641878902,2909.88,0.9304031729698181
2024-03-11,NVDA,BUY,85.73503112792969,32.88791780731631,2822.4663036,0.6490084528923035
2024-04-04,NVDA,BUY,85.865966796875,31.851300344348104,2737.6776405028922,0.8314100503921509
2024-04-09,NVDA,BUY,85.3152084350586,31.09389811289405,2655.4351809585905,0.8253556489944458
2024-04-15,NVDA,BUY,85.9619369506836,29.932891979591915,2575.6624624744036,0.6036867499351501
2024-04-19,NVDA,BUY,76.16539001464844,32.76802664198399,2498.2853187262976,0.946021556854248
2024-06-24,NVDA,BUY,118.06603240966795,20.503873554466214,2423.231810604947,0.9379133582115173
2024-07-11,NVDA,BUY,127.35259246826172,18.43766216099922,2350.4321593324803,0.8701520562171936
2024-07-17,NVDA,BUY,117.94607543945312,19.31002054931824,2279.818681587726,0.9207706451416016
2024-07-19,NVDA,BUY,117.88611602783205,18.739412955535162,2211.3257265796465,0.5226393938064575
2024-07-24,NVDA,BUY,114.2074737548828,18.761879566140973,2144.8896150104592,0.9135427474975586
2024-07-25,NVDA,BUY,112.23820495605467,18.517493312333272,2080.4485798716955,0.9566812515258789
2024-07-30,NVDA,BUY,103.69139862060548,19.441600837229995,2017.9427090181484,0.9881530404090881
2024-08-05,NVDA,BUY,100.41261291503906,19.473236221727074,1957.3138894663334,0.9767817854881287
2024-08-07,NVDA,BUY,98.8731918334961,19.18223847183325,1898.5057533656595,0.9746425151824951
2024-08-29,NVDA,BUY,117.54623413085938,15.6502164037218,1841.4636255920889,0.9704123139381409
2024-09-03,NVDA,BUY,107.95980072021484,16.527912342271083,1786.1344729155583,0.8943712711334229
2024-09-04,NVDA,BUY,106.17047119140624,16.30148288082026,1732.4668546939042,0.6901670694351196
2024-09-05,NVDA,BUY,107.17010498046876,15.664183059356738,1680.4108750474463,0.6874412894248962
2024-09-06,NVDA,BUY,102.7917251586914,15.840670483050754,1629.9181364697715,0.9901531338691711
2024-09-18,NVDA,BUY,113.33749389648438,13.935038425515035,1580.9416948315843,0.6042814254760742
2024-10-01,NVDA,BUY,116.9664535522461,13.096952716788179,1533.436015735792,0.9868304133415222
2024-10-15,NVDA,BUY,131.56228637695312,11.294050157085262,1487.3569321832458,0.8521578907966614
2024-10-31,NVDA,BUY,132.72193908691406,10.858946102217972,1442.6616035097832,0.9633302092552185
2024-11-25,NVDA,BUY,135.9810028076172,10.28019014515671,1399.3084755563843,0.9812658429145813
2024-11-26,NVDA,BUY,136.88075256347656,9.90571220059556,1357.257242035426,0.8340269327163696
2024-11-27,NVDA,BUY,135.3011932373047,9.72019257137704,1316.4688070571021,0.9964779019355774
2024-12-10,NVDA,BUY,135.04058837890625,9.44626822554094,1276.9052487811773,0.9335572123527527
2024-12-18,NVDA,BUY,128.88192749023438,9.600201640081476,1238.5297841602785,0.9980251789093018
2024-12-31,NVDA,BUY,134.26075744628906,8.93862548476932,1201.3067347419453,0.9560369849205017
2025-01-13,NVDA,BUY,133.20098876953125,8.738955069287506,1165.2014934976448,0.7899600863456726
2025-01-14,NVDA,BUY,131.73129272460938,8.570867391144795,1130.1804926479106,0.9614943265914917
2025-01-27,NVDA,BUY,118.39420318603516,9.249743880420555,1096.2111724536937,0.9845011234283447
2025-01-31,NVDA,BUY,120.04385375976562,8.848430951903735,1063.2619509449094,0.5902754664421082
2025-02-03,NVDA,BUY,116.63459777832033,8.8333302661494,1031.3021945580338,0.9540724158287048
2025-02-27,NVDA,BUY,120.12384033203124,8.318938888454948,1000.3021896554561,0.886940062046051
2025-02-28,NVDA,BUY,124.89279174804688,7.760766954464461,970.2331149001028,0.9689056873321533
2025-03-03,NVDA,BUY,114.03515625,8.24418467504034,941.0670144596527,0.9688172936439514
2025-03-04,NVDA,BUY,115.96473693847656,7.863294749610807,912.7767720154294,0.9953920841217041
2025-03-05,NVDA,BUY,117.2744598388672,7.5417242179849495,885.3360855518059,0.8430449366569519
2025-03-06,NVDA,BUY,110.5459213256836,7.760228247535113,858.7194429026853,0.9518918395042419
2025-03-07,NVDA,BUY,112.66545867919922,7.385316118700839,832.9020980323176,0.9925325512886047
2025-03-10,NVDA,BUY,106.95669555664062,7.545605170701876,807.8600480284072,0.969112753868103
2025-03-11,NVDA,BUY,108.73631286621094,7.198949485492416,783.570010786114,0.976545512676239
2025-03-26,NVDA,BUY,113.74568939208984,6.674979572999962,760.0094033622071,0.6667064428329468
2025-03-31,NVDA,BUY,108.36636352539062,6.7956502102759595,737.1563209792399,0.9880962371826172
2025-04-01,NVDA,BUY,110.13614654541016,6.485384352214578,714.9895166602334,0.9327487945556641
2025-04-02,NVDA,BUY,110.4061050415039,6.274975334277046,693.4883814749265,0.8408610224723816
2025-04-03,NVDA,BUY,101.78720092773438,6.6016253349170135,672.6329253792345,0.9567813277244568
2025-04-04,NVDA,BUY,94.29813385009766,6.911610866653409,652.403758630096,0.9780705571174622
2025-04-07,NVDA,BUY,97.6277084350586,6.475107671456842,632.7820737584342,0.975897490978241
2025-04-08,NVDA,BUY,96.2878875732422,6.367742683372186,613.7496280834685,0.9867532849311829
2025-04-21,NVDA,BUY,96.89781188964844,6.137331907934792,595.2887267521219,0.6270322799682617
